COMPOSER,YEAR,INSTR,OPUS,NUMBER,KEY,METER,FORM,MM#,FREQ,M#,GLOBAL_SEC,LOCAL_SEC,CAD,GLOBAL_RN,AMBIG,STAGE_1_CPT,STAGE_2_CPT,STAGE_3_CPT,STAGE_4_CPT,STAGE_5_CPT,STAGE_6_CPT,STAGE_7_CPT,STAGE_8_CPT,STAGE_9_CPT,STAGE_10_CPT,STAGE_11_CPT,STAGE_12_CPT,BL_PAROXY_R,BL_DESCEND_C
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,1/2,GM,3/4,CT,72 (1851 PSE),5,"4,12,28,44,68",A,a,IAC,"V,I",N,"[3,2.75],[2,7]","[3,3],[4,2]","[3,3.5],[7,2]","[4,1],[1,1]","[4,1.75],[3,1]","[4,2],[#4,1]","[4,2.75],[6,1]","[4,3],[5,1]",n/a,n/a,n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,1/2,GM,3/4,CT,72 (1851 PSE),5,"8,16,32,48,72",A,a,PAC,"V,I",N,"[7,2.75],[2,7]","[7,3],[4,2]","[7,3.5],[7,2]","[8,1],[1,1]","[8,1.33],[3,1]","[8,1.66],[5,1]","[8,2],[1,1]",n/a,n/a,n/a,n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,1/2,GM,3/4,CT,72 (1851 PSE),4,"20,24,36,40",A,b,HC,"vii/III,V/VI",N,"[20,1],[1,1]","[20,2],[7,7]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,1/2,GM,3/4,CT,72 (1851 PSE),2,"52,60",B,n/a,IAC,"V/IV,IV",N,"[51,1],[2,1]","[51,2.5],[1,1]","[51,3],[b7,1]","[51,3.5],[5,1]","[52,1],[4,4]","[52,1.75],[3,4]","[52,2],[4,1]","[52,2.5],[5,1]","[52,3],[6,1]",n/a,n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,1/2,GM,3/4,CT,72 (1851 PSE),1,56,B,n/a,PAC,"V/IV,IV",N,"[55,1],[2,1]","[55,2.5],[1,1]","[55,3],[b7,1]","[55,3.5],[5,1]","[56,1],[4,4]","[56,1.75],[1,4]","[56,2],[7,1]","[56,2.5],[1,1]","[56,3],[4,1]",n/a,n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,1/2,GM,3/4,CT,72 (1851 PSE),1,64,B,n/a,PAC,"V/IV,IV",N,"[63,1],[2,1]","[63,2.5],[1,1]","[63,3],[b7,1]","[63,3.5],[5,1]","[64,1],[5,4]","[64,1.75],[4,4]","[64,2],[4,1]",n/a,n/a,n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,2/3,BbM,3/4,CT,80 (1851 PSE),4,"4,8,60,64",A,a,HC,"I,V",N,"[4,1],[3,1]","[4,2],[2,5]","[4,2.75],[7,5]","[4,3],[5,5]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,2/3,BbM,3/4,CT,80 (1851 PSE),4,"12,20,68,76",A,b,HC,"I,V",N,"[12,1],[1,1]","[12,1.33],[2,1]","[12,1.66],[3,1]","[12,2],[2,5]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,2/3,BbM,3/4,CT,80 (1851 PSE),4,"16,24,72,80",A,b,PAC,"V,I",N,"[15,1],[7,5]","[15,1.75],[6,5]","[15,2],[5,5]","[15,2.75],[3,5]","[15,3],[4,5]","[15,3.75],[7,5]","[16,1],[1,1]","[16,1.33],[1,1]","[16,1.66],[1,1]","[16,2],[1,5]",n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,2/3,BbM,3/4,CT,80 (1851 PSE),2,"28,36",B,a,PAC,"V/VI,vi",N,"[27,1],[3,3]","[27,1.33],[3,3]","[27,1.66],[3,3]","[27,2],[7,#5]","[27,3],[3,3]","[28,1],[1,6]","[28,1.75],[7,6]","[28,2],[6,6]",n/a,n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,2/3,BbM,3/4,CT,80 (1851 PSE),2,"32,40",B,a,PAC,"V/VI,vi",N,"[31,1],[3,3]","[31,1.33],[3,3]","[31,1.66],[3,3]","[31,2],[7,#5]","[31,3],[3,3]","[32,1],[6,6]",n/a,n/a,n/a,n/a,n/a,n/a,0,0
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,2/3,BbM,3/4,CT,80 (1851 PSE),2,"44,52",B,b,IAC,"V,I",Y,"[43,1],[5,5]","[43,1.75],[6,5]","[43,2],[7,5]","[43,2.5],[1,5]","[43,3],[#1,5]","[43,3.5],[2,5]","[44,1],[3,1]",n/a,n/a,n/a,n/a,n/a,0,0
"Chopin, Fryderyk Franciszek",1825-1826,piano,B 16/KK IIa,2/3,BbM,3/4,CT,80 (1851 PSE),2,"48,56",B,b,PAC,"V,I",N,"[47,1],[5,5]","[47,1.75],[6,5]","[47,2],[7,5]","[47,2.5],[1,5]","[47,3],[#1,5]","[47,3.5],[2,5]","[48,1],[3,1]","[48,1.75],[5,1]","[48,2],[1,5]",n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1826-1827,piano,68,2,Am,3/4,CT,65,5,"4,12,24,49,61",A,a,PAC,"V,i",N,"[3,1],[2,1]","[3,1.75],[2,1]","[3,2],[#6,5]","[3,3],[#7,5]","[4,1],[1,1]","[4,1.75],[5,1]","[4,2],[1,5]","[4,2.75],[5,5]","[4,3],[1,5]",n/a,n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1826-1827,piano,68,2,Am,3/4,CT,65,5,"8,16,28,53,65",A,a,PAC,"V,i",N,"[7,1],[2,1]","[7,1.75],[2,1]","[7,2],[#6,5]","[7,3],[#7,5]","[8,1],[1,1]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0
"Chopin, Fryderyk Franciszek",1826-1827,piano,68,2,Am,3/4,CT,65,2,"20,57",A,b,IAC,"V/III,III",N,"[19,3],[4,7]","[20,1],[5,3]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0
"Chopin, Fryderyk Franciszek",1826-1827,piano,68,2,Am,3/4,CT,65,1,33,B,n/a,IAC,I,Y,"[33,1],[5,1]","[33,1.75],[#4,1]","[33,2],[#6,1]","[33,3.5],[5,1]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1826-1827,piano,68,2,Am,3/4,CT,65,1,37,B,n/a,PAC,"V/#III,#iii",N,"[37,1],[#3,#7]","[37,1.75],[#2,#7]","[37,2],[#4,#7]","[37,3],[#3,#3]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1826-1827,piano,68,2,Am,3/4,CT,65,2,"41,45",B,n/a,PAC,"V,I",N,"[40,3],[2,1]","[41,1],[#3,1]","[41,1.75],[#3,1]","[41,2],[5,1]","[41,3],[1,1]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,1,CM,3/4,CT,73,2,"4,53",IN,n/a,PC,"IV,I",Y,"[3,3],[6,4]","[4,1],[5,1]","[4,1.5],[3,1]","[4,2],[5,1]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,1,CM,3/4,CT,73,5,"8,16,28,57,69",A,a,IAC,"V,I",N,"[7,1],[6,5]","[7,1.5],[6,5]","[7,2],[6,5]","[7,3],[5,5]","[7,3.5],[2,5]","[8,1],[4,1]","[8,1.5],[4,1]","[8,2],[4,1]","[8,3],[3,5]",n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,1,CM,3/4,CT,73,5,"12,20,32,61,73",A,a,PAC,"V,I",N,"[11,1],[7,5]","[11,1.75],[6,5]","[11,2],[4,5]","[11,2.5],[2,5]","[11,3],[7,5]","[11,3.5],[5,5]","[12,1],[1,1]","[12,1.33],[2,1]","[12,1.66],[3,1]","[12,2],[1,1]",n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,1,CM,3/4,CT,73,2,"24,65",A,b,HC,"V/V,V",N,"[24,1],[2,2]","[24,1.75],[2,2]","[24,2],[2,5]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,1,CM,3/4,CT,73,2,"37,45",B,n/a,PAC,"V/IV,IV",N,"[35,3.5],[#4,6]","[36,1],[5,1]","[36,1.5],[6,1]","[36,2],[b7,1]","[36,3.5],[7,1]","[37,1],[2,4]","[37,1.75],[1,4]","[37,2],[4,1]",n/a,n/a,n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,1,CM,3/4,CT,73,1,41,B,n/a,HC,"V,V/IV",N,"[39,3.5],[3,4]","[40,1],[2,5]","[40,1.5],[3,5]","[40,2],[4,5]","[40,2.5],[3,5]","[40,3],[4,5]","[40,3.5],[#4,5]","[41,1],[6,1]","[41,1.5],[5,1]","[41,2],[3,5]",n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,1,CM,3/4,CT,73,1,49,B,n/a,PAC,"V/IV,IV",N,"[48,1],[1,1]","[48,1.5],[b2,1]","[48,2],[1,1]","[48,2.5],[2,1]","[48,3],[1,1]","[48,3.5],[3,1]","[49,1],[4,4]",n/a,n/a,n/a,n/a,n/a,0,0
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,3,FM,3/4,CT,60,2,"8,52",A,a,HC,"V/V,V",N,"[7,3],[2,2]","[8,1],[7,5]","[8,1.75],[6,5]","[8,2],[5,5]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,3,FM,3/4,CT,60,3,"16,32,60",A,a,PAC,"V,I",N,"[15,3],[2,4]","[16,1],[6,5]","[16,1.5],[7,5]","[16,2],[1,1]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,0
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,3,FM,3/4,CT,60,1,20,A,b,HC,"V/VI,V/III",N,"[20,1],[7,#5]","[20,1.75],[6,#4]","[20,2],[#4,7]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,3,FM,3/4,CT,60,1,24,A,b,HC,"vi,V/VI",N,"[23,3],[1,3]","[24,1],[7,#5]","[24,1.75],[#5,3]","[24,2],[3,3]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,3,FM,3/4,CT,60,1,40,B,n/a,HC,"IV,V/IV",Y,"[40,1],[4,4]","[40,1.5],[6,4]","[40,2],[5,4]","[40,2.5],[3,4]","[40,3],[1,4]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1829-1830,piano,68,3,FM,3/4,CT,60,1,44,B,n/a,HC,"IV,V",N,"[44,1],[4,4]","[44,1.5],[6,4]","[44,2],[5,5]","[44,2.5],[4,5]","[44,3],[2,5]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1
