COMPOSER,YEAR,INSTR,OPUS,NUMBER,KEY,METER,FORM,MM#,FREQ,M#,GLOBAL_SEC,LOCAL_SEC,CAD,GLOBAL_RN,AMBIG,STAGE_1_CPT,STAGE_2_CPT,STAGE_3_CPT,STAGE_4_CPT,STAGE_5_CPT,STAGE_6_CPT,STAGE_7_CPT,STAGE_8_CPT,STAGE_9_CPT,STAGE_10_CPT,STAGE_11_CPT,STAGE_12_CPT,BL_PAROXY_R,BL_DESCEND_C
"Chopin, Fryderyk Franciszek",1827,piano,B 21/KK IVa,-/13,AbM,3/8,CT,73 (1949 PWM ed.),3,"8,24,56",A,a,IAC,I,N,"[7,1],[1,1]","[7,1.5],[#1,1]","[7,2],[2,5]","[7,2.5],[#2,5]","[7,3],[3,5]","[7,3.5],[1,5]","[8,1],[5,1]",n/a,n/a,n/a,n/a,n/a,0,1
"Chopin, Fryderyk Franciszek",1827,piano,B 21/KK IVa,-/13,AbM,3/8,CT,73 (1949 PWM ed.),1,16,A,a,HC,V,N,"[15,1],[1,5]","[15,1.5],[7,5]","[15,2],[7,7]","[15,2.5],[b7,7]","[15,3],[b7,7]","[15,3.5],[6,7]","[16,1],[6,5]","[16,1.5],[#5,5]","[16,2],[#5,7]","[16,2.5],[5,7]","[16,3],[5,7]",n/a,1,1
"Chopin, Fryderyk Franciszek",1827,piano,B 21/KK IVa,-/13,AbM,3/8,CT,73 (1949 PWM ed.),2,"32,64",A,a,PAC,"V,I",N,"[31,1],[2,5]","[31,1.5],[4,5]","[31,2],[3,5]","[31,2.5],[5,5]","[31,3],[4,5]","[31,3.5],[7,5]","[32,1],[1,1]",n/a,n/a,n/a,n/a,n/a,0,0
"Chopin, Fryderyk Franciszek",1827,piano,B 21/KK IVa,-/13,AbM,3/8,CT,73 (1949 PWM ed.),2,"40,48",A,b,PAC,"V/VI,vi",N,"[39,1],[7,6]","[39,1.5],[3,6]","[39,2],[4,6]","[39,2.5],[3,6]","[39,3],[1,6]","[39,3.5],[7,6]","[40,1],[6,6]",n/a,n/a,n/a,n/a,n/a,0,1
"Chopin, Fryderyk Franciszek",1827,piano,B 21/KK IVa,-/13,AbM,3/8,CT,73 (1949 PWM ed.),1,72,B,n/a,PAC,"V/IV,IV",N,"[71,1],[5,1]","[71,2],[1,3]","[71,2.5],[5,3]","[71,3],[1,1]","[72,1],[4,4]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0
"Chopin, Fryderyk Franciszek",1827,piano,B 46/KK IVa,-/14,EbM,3/4,R,75 (1949 PWM ed.),5,"4,22,39,55,71",A,a,PAC,"V,I",N,"[3,1],[2,5]","[3,2],[3,2]","[3,2.5],[2,2]","[3,3],[#1,2]","[3,3.5],[2,2]","[4,1],[3,1]","[4,2],[1,1]",n/a,n/a,n/a,n/a,n/a,1,1
"Chopin, Fryderyk Franciszek",1827,piano,B 46/KK IVa,-/14,EbM,3/4,R,75 (1949 PWM ed.),5,"8,26,43,59,75",A,a,PAC,"V,I",N,"[7,1],[2,5]","[7,2],[3,2]","[7,2.5],[2,2]","[7,3],[6,2]","[7,3.5],[7,2]","[8,1],[1,1]",n/a,n/a,n/a,n/a,n/a,n/a,0,0
"Chopin, Fryderyk Franciszek",1827,piano,B 46/KK IVa,-/14,EbM,3/4,R,75 (1949 PWM ed.),2,"13,17",A,b,PAC,"V,I",N,"[12,1],[2,5]","[12,2],[7,2]","[12,3],[7,2]","[12,3.75],[2,2]","[13,1],[1,1]",n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0
"Chopin, Fryderyk Franciszek",1827,piano,B 46/KK IVa,-/14,EbM,3/4,R,75 (1949 PWM ed.),1,34,B,n/a,IAC,"V,I",N,"[33,1],[3,5]","[33,1.75],[2,5]","[33,2],[2,5]","[33,2.5],[6,5]","[33,3],[5,5]","[33,3.5],[4,5]","[34,1],[3,1]",n/a,n/a,n/a,n/a,n/a,0,1
"Chopin, Fryderyk Franciszek",1827,piano,B 46/KK IVa,-/14,EbM,3/4,R,75 (1949 PWM ed.),1,47,C,n/a,HC,"I,V",N,"[46,1],[5,1]","[46,1.75],[5,1]","[46,2],[5,1]","[46,2.75],[1,1]","[46,3],[5,1]","[46,3.5],[1,1]","[47,1],[2,5]",n/a,n/a,n/a,n/a,n/a,0,0
